Month,Taluka,Allocated_Water_TMC,Recommended_Crops,Recommended_Irrigation,Water_Requirement_mÂ³
Aug,Atpadi,0.01,Adjusted crop (Jowar) for Atpadi based on availability,Optimized Irrigation,3100500
Aug,Atpadi,0.01,Water-intensive crop (Sugarcane) for Atpadi,Flood Irrigation,14394000
Aug,Atpadi,0.01,Adjusted crop (Groundnut) for Atpadi based on availability,Optimized Irrigation,9734400
Aug,Atpadi,0.01,Adjusted crop (Pulses) for Atpadi based on availability,Optimized Irrigation,4011000
Aug,Atpadi,0.01,Water-intensive crop (Rice) for Atpadi,Flood Irrigation,16142500
Aug,Atpadi,0.01,Adjusted crop (Maize) for Atpadi based on availability,Optimized Irrigation,3705000
Aug,Atpadi,0.01,Adjusted crop (Wheat) for Atpadi based on availability,Optimized Irrigation,16182400
Aug,Atpadi,0.01,Adjusted crop (Bajra) for Atpadi based on availability,Optimized Irrigation,14057600
Aug,Khanapur ,0.06,Adjusted crop (Jowar) for Khanapur  based on availability,Optimized Irrigation,16078500
Aug,Khanapur ,0.06,Water-intensive crop (Sugarcane) for Khanapur ,Flood Irrigation,26058000
Aug,Khanapur ,0.06,Adjusted crop (Groundnut) for Khanapur  based on availability,Optimized Irrigation,3172800
Aug,Khanapur ,0.06,Adjusted crop (Pulses) for Khanapur  based on availability,Optimized Irrigation,13447000
Aug,Khanapur ,0.06,Water-intensive crop (Rice) for Khanapur ,Flood Irrigation,9762500
Aug,Shirol,0.01,Adjusted crop (Maize) for Shirol based on availability,Optimized Irrigation,4185000
Aug,Shirol,0.01,Adjusted crop (Wheat) for Shirol based on availability,Optimized Irrigation,23363600
Aug,Shirol,0.01,Adjusted crop (Bajra) for Shirol based on availability,Optimized Irrigation,4043400
Aug,Tasgaon,0.04,Adjusted crop (Jowar) for Tasgaon based on availability,Optimized Irrigation,11371500
Aug,Tasgaon,0.04,Water-intensive crop (Sugarcane) for Tasgaon,Flood Irrigation,5346000
Aug,Tasgaon,0.04,Adjusted crop (Groundnut) for Tasgaon based on availability,Optimized Irrigation,23875200
Aug,Tasgaon,0.04,Adjusted crop (Pulses) for Tasgaon based on availability,Optimized Irrigation,12596500
Aug,Tasgaon,0.04,Water-intensive crop (Rice) for Tasgaon,Flood Irrigation,19822000
Aug,Tasgaon,0.04,Adjusted crop (Maize) for Tasgaon based on availability,Optimized Irrigation,20725000
Aug,Tasgaon,0.04,Adjusted crop (Wheat) for Tasgaon based on availability,Optimized Irrigation,16801200
Aug,Tasgaon,0.04,Adjusted crop (Bajra) for Tasgaon based on availability,Optimized Irrigation,9522000
Aug,Palus,0.02,Adjusted crop (Jowar) for Palus based on availability,Optimized Irrigation,4509000
Aug,Palus,0.02,Water-intensive crop (Sugarcane) for Palus,Flood Irrigation,29928000
Aug,Palus,0.02,Adjusted crop (Groundnut) for Palus based on availability,Optimized Irrigation,9523200
Aug,Palus,0.02,Adjusted crop (Pulses) for Palus based on availability,Optimized Irrigation,3720500
Aug,Shahuwadi,0.04,Water-intensive crop (Rice) for Shahuwadi,Flood Irrigation,12413500
Aug,Shahuwadi,0.04,Adjusted crop (Maize) for Shahuwadi based on availability,Optimized Irrigation,10890000
Aug,Shahuwadi,0.04,Adjusted crop (Wheat) for Shahuwadi based on availability,Optimized Irrigation,11554400
Aug,Shahuwadi,0.04,Adjusted crop (Bajra) for Shahuwadi based on availability,Optimized Irrigation,14375000
Aug,Panhala,0.07,Adjusted crop (Jowar) for Panhala based on availability,Optimized Irrigation,18571500
Aug,Panhala,0.07,Water-intensive crop (Sugarcane) for Panhala,Flood Irrigation,12978000
Aug,Panhala,0.07,Adjusted crop (Groundnut) for Panhala based on availability,Optimized Irrigation,18249600
Aug,Hatkanangale,0.03,Adjusted crop (Pulses) for Hatkanangale based on availability,Optimized Irrigation,6321000
Aug,Hatkanangale,0.03,Water-intensive crop (Rice) for Hatkanangale,Flood Irrigation,9801000
Aug,Hatkanangale,0.03,Adjusted crop (Maize) for Hatkanangale based on availability,Optimized Irrigation,24565000
Aug,Hatkanangale,0.03,Adjusted crop (Wheat) for Hatkanangale based on availability,Optimized Irrigation,6047600
Aug,Hatkanangale,0.03,Adjusted crop (Bajra) for Hatkanangale based on availability,Optimized Irrigation,19517800
Sep,Atpadi,0.01,Adjusted crop (Jowar) for Atpadi based on availability,Optimized Irrigation,3100500
Sep,Atpadi,0.01,Water-intensive crop (Sugarcane) for Atpadi,Flood Irrigation,14394000
Sep,Atpadi,0.01,Adjusted crop (Groundnut) for Atpadi based on availability,Optimized Irrigation,9734400
Sep,Atpadi,0.01,Adjusted crop (Pulses) for Atpadi based on availability,Optimized Irrigation,4011000
Sep,Atpadi,0.01,Water-intensive crop (Rice) for Atpadi,Flood Irrigation,16142500
Sep,Atpadi,0.01,Adjusted crop (Maize) for Atpadi based on availability,Optimized Irrigation,3705000
Sep,Atpadi,0.01,Adjusted crop (Wheat) for Atpadi based on availability,Optimized Irrigation,16182400
Sep,Atpadi,0.01,Adjusted crop (Bajra) for Atpadi based on availability,Optimized Irrigation,14057600
Sep,Khanapur ,0.06,Adjusted crop (Jowar) for Khanapur  based on availability,Optimized Irrigation,16078500
Sep,Khanapur ,0.06,Water-intensive crop (Sugarcane) for Khanapur ,Flood Irrigation,26058000
Sep,Khanapur ,0.06,Adjusted crop (Groundnut) for Khanapur  based on availability,Optimized Irrigation,3172800
Sep,Khanapur ,0.06,Adjusted crop (Pulses) for Khanapur  based on availability,Optimized Irrigation,13447000
Sep,Khanapur ,0.06,Water-intensive crop (Rice) for Khanapur ,Flood Irrigation,9762500
Sep,Shirol,0.01,Adjusted crop (Maize) for Shirol based on availability,Optimized Irrigation,4185000
Sep,Shirol,0.01,Adjusted crop (Wheat) for Shirol based on availability,Optimized Irrigation,23363600
Sep,Shirol,0.01,Adjusted crop (Bajra) for Shirol based on availability,Optimized Irrigation,4043400
Sep,Tasgaon,0.04,Adjusted crop (Jowar) for Tasgaon based on availability,Optimized Irrigation,11371500
Sep,Tasgaon,0.04,Water-intensive crop (Sugarcane) for Tasgaon,Flood Irrigation,5346000
Sep,Tasgaon,0.04,Adjusted crop (Groundnut) for Tasgaon based on availability,Optimized Irrigation,23875200
Sep,Tasgaon,0.04,Adjusted crop (Pulses) for Tasgaon based on availability,Optimized Irrigation,12596500
Sep,Tasgaon,0.04,Water-intensive crop (Rice) for Tasgaon,Flood Irrigation,19822000
Sep,Tasgaon,0.04,Adjusted crop (Maize) for Tasgaon based on availability,Optimized Irrigation,20725000
Sep,Tasgaon,0.04,Adjusted crop (Wheat) for Tasgaon based on availability,Optimized Irrigation,16801200
Sep,Tasgaon,0.04,Adjusted crop (Bajra) for Tasgaon based on availability,Optimized Irrigation,9522000
Sep,Palus,0.02,Adjusted crop (Jowar) for Palus based on availability,Optimized Irrigation,4509000
Sep,Palus,0.02,Water-intensive crop (Sugarcane) for Palus,Flood Irrigation,29928000
Sep,Palus,0.02,Adjusted crop (Groundnut) for Palus based on availability,Optimized Irrigation,9523200
Sep,Palus,0.02,Adjusted crop (Pulses) for Palus based on availability,Optimized Irrigation,3720500
Sep,Shahuwadi,0.04,Water-intensive crop (Rice) for Shahuwadi,Flood Irrigation,12413500
Sep,Shahuwadi,0.04,Adjusted crop (Maize) for Shahuwadi based on availability,Optimized Irrigation,10890000
Sep,Shahuwadi,0.04,Adjusted crop (Wheat) for Shahuwadi based on availability,Optimized Irrigation,11554400
Sep,Shahuwadi,0.04,Adjusted crop (Bajra) for Shahuwadi based on availability,Optimized Irrigation,14375000
Sep,Panhala,0.07,Adjusted crop (Jowar) for Panhala based on availability,Optimized Irrigation,18571500
Sep,Panhala,0.07,Water-intensive crop (Sugarcane) for Panhala,Flood Irrigation,12978000
Sep,Panhala,0.07,Adjusted crop (Groundnut) for Panhala based on availability,Optimized Irrigation,18249600
Sep,Hatkanangale,0.03,Adjusted crop (Pulses) for Hatkanangale based on availability,Optimized Irrigation,6321000
Sep,Hatkanangale,0.03,Water-intensive crop (Rice) for Hatkanangale,Flood Irrigation,9801000
Sep,Hatkanangale,0.03,Adjusted crop (Maize) for Hatkanangale based on availability,Optimized Irrigation,24565000
Sep,Hatkanangale,0.03,Adjusted crop (Wheat) for Hatkanangale based on availability,Optimized Irrigation,6047600
Sep,Hatkanangale,0.03,Adjusted crop (Bajra) for Hatkanangale based on availability,Optimized Irrigation,19517800
Oct,Atpadi,0.01,Adjusted crop (Jowar) for Atpadi based on availability,Optimized Irrigation,3100500
Oct,Atpadi,0.01,Water-intensive crop (Sugarcane) for Atpadi,Flood Irrigation,14394000
Oct,Atpadi,0.01,Adjusted crop (Groundnut) for Atpadi based on availability,Optimized Irrigation,9734400
Oct,Atpadi,0.01,Adjusted crop (Pulses) for Atpadi based on availability,Optimized Irrigation,4011000
Oct,Atpadi,0.01,Water-intensive crop (Rice) for Atpadi,Flood Irrigation,16142500
Oct,Atpadi,0.01,Adjusted crop (Maize) for Atpadi based on availability,Optimized Irrigation,3705000
Oct,Atpadi,0.01,Adjusted crop (Wheat) for Atpadi based on availability,Optimized Irrigation,16182400
Oct,Atpadi,0.01,Adjusted crop (Bajra) for Atpadi based on availability,Optimized Irrigation,14057600
Oct,Khanapur ,0.06,Adjusted crop (Jowar) for Khanapur  based on availability,Optimized Irrigation,16078500
Oct,Khanapur ,0.06,Water-intensive crop (Sugarcane) for Khanapur ,Flood Irrigation,26058000
Oct,Khanapur ,0.06,Adjusted crop (Groundnut) for Khanapur  based on availability,Optimized Irrigation,3172800
Oct,Khanapur ,0.06,Adjusted crop (Pulses) for Khanapur  based on availability,Optimized Irrigation,13447000
Oct,Khanapur ,0.06,Water-intensive crop (Rice) for Khanapur ,Flood Irrigation,9762500
Oct,Shirol,0.01,Adjusted crop (Maize) for Shirol based on availability,Optimized Irrigation,4185000
Oct,Shirol,0.01,Adjusted crop (Wheat) for Shirol based on availability,Optimized Irrigation,23363600
Oct,Shirol,0.01,Adjusted crop (Bajra) for Shirol based on availability,Optimized Irrigation,4043400
Oct,Tasgaon,0.04,Adjusted crop (Jowar) for Tasgaon based on availability,Optimized Irrigation,11371500
Oct,Tasgaon,0.04,Water-intensive crop (Sugarcane) for Tasgaon,Flood Irrigation,5346000
Oct,Tasgaon,0.04,Adjusted crop (Groundnut) for Tasgaon based on availability,Optimized Irrigation,23875200
Oct,Tasgaon,0.04,Adjusted crop (Pulses) for Tasgaon based on availability,Optimized Irrigation,12596500
Oct,Tasgaon,0.04,Water-intensive crop (Rice) for Tasgaon,Flood Irrigation,19822000
Oct,Tasgaon,0.04,Adjusted crop (Maize) for Tasgaon based on availability,Optimized Irrigation,20725000
Oct,Tasgaon,0.04,Adjusted crop (Wheat) for Tasgaon based on availability,Optimized Irrigation,16801200
Oct,Tasgaon,0.04,Adjusted crop (Bajra) for Tasgaon based on availability,Optimized Irrigation,9522000
Oct,Palus,0.02,Adjusted crop (Jowar) for Palus based on availability,Optimized Irrigation,4509000
Oct,Palus,0.02,Water-intensive crop (Sugarcane) for Palus,Flood Irrigation,29928000
Oct,Palus,0.02,Adjusted crop (Groundnut) for Palus based on availability,Optimized Irrigation,9523200
Oct,Palus,0.02,Adjusted crop (Pulses) for Palus based on availability,Optimized Irrigation,3720500
Oct,Shahuwadi,0.04,Water-intensive crop (Rice) for Shahuwadi,Flood Irrigation,12413500
Oct,Shahuwadi,0.04,Adjusted crop (Maize) for Shahuwadi based on availability,Optimized Irrigation,10890000
Oct,Shahuwadi,0.04,Adjusted crop (Wheat) for Shahuwadi based on availability,Optimized Irrigation,11554400
Oct,Shahuwadi,0.04,Adjusted crop (Bajra) for Shahuwadi based on availability,Optimized Irrigation,14375000
Oct,Panhala,0.07,Adjusted crop (Jowar) for Panhala based on availability,Optimized Irrigation,18571500
Oct,Panhala,0.07,Water-intensive crop (Sugarcane) for Panhala,Flood Irrigation,12978000
Oct,Panhala,0.07,Adjusted crop (Groundnut) for Panhala based on availability,Optimized Irrigation,18249600
Oct,Hatkanangale,0.03,Adjusted crop (Pulses) for Hatkanangale based on availability,Optimized Irrigation,6321000
Oct,Hatkanangale,0.03,Water-intensive crop (Rice) for Hatkanangale,Flood Irrigation,9801000
Oct,Hatkanangale,0.03,Adjusted crop (Maize) for Hatkanangale based on availability,Optimized Irrigation,24565000
Oct,Hatkanangale,0.03,Adjusted crop (Wheat) for Hatkanangale based on availability,Optimized Irrigation,6047600
Oct,Hatkanangale,0.03,Adjusted crop (Bajra) for Hatkanangale based on availability,Optimized Irrigation,19517800
Nov,Atpadi,0.01,Adjusted crop (Jowar) for Atpadi based on availability,Optimized Irrigation,3100500
Nov,Atpadi,0.01,Water-intensive crop (Sugarcane) for Atpadi,Flood Irrigation,14394000
Nov,Atpadi,0.01,Adjusted crop (Groundnut) for Atpadi based on availability,Optimized Irrigation,9734400
Nov,Atpadi,0.01,Adjusted crop (Pulses) for Atpadi based on availability,Optimized Irrigation,4011000
Nov,Atpadi,0.01,Water-intensive crop (Rice) for Atpadi,Flood Irrigation,16142500
Nov,Atpadi,0.01,Adjusted crop (Maize) for Atpadi based on availability,Optimized Irrigation,3705000
Nov,Atpadi,0.01,Adjusted crop (Wheat) for Atpadi based on availability,Optimized Irrigation,16182400
Nov,Atpadi,0.01,Adjusted crop (Bajra) for Atpadi based on availability,Optimized Irrigation,14057600
Nov,Khanapur ,0.06,Adjusted crop (Jowar) for Khanapur  based on availability,Optimized Irrigation,16078500
Nov,Khanapur ,0.06,Water-intensive crop (Sugarcane) for Khanapur ,Flood Irrigation,26058000
Nov,Khanapur ,0.06,Adjusted crop (Groundnut) for Khanapur  based on availability,Optimized Irrigation,3172800
Nov,Khanapur ,0.06,Adjusted crop (Pulses) for Khanapur  based on availability,Optimized Irrigation,13447000
Nov,Khanapur ,0.06,Water-intensive crop (Rice) for Khanapur ,Flood Irrigation,9762500
Nov,Shirol,0.01,Adjusted crop (Maize) for Shirol based on availability,Optimized Irrigation,4185000
Nov,Shirol,0.01,Adjusted crop (Wheat) for Shirol based on availability,Optimized Irrigation,23363600
Nov,Shirol,0.01,Adjusted crop (Bajra) for Shirol based on availability,Optimized Irrigation,4043400
Nov,Tasgaon,0.04,Adjusted crop (Jowar) for Tasgaon based on availability,Optimized Irrigation,11371500
Nov,Tasgaon,0.04,Water-intensive crop (Sugarcane) for Tasgaon,Flood Irrigation,5346000
Nov,Tasgaon,0.04,Adjusted crop (Groundnut) for Tasgaon based on availability,Optimized Irrigation,23875200
Nov,Tasgaon,0.04,Adjusted crop (Pulses) for Tasgaon based on availability,Optimized Irrigation,12596500
Nov,Tasgaon,0.04,Water-intensive crop (Rice) for Tasgaon,Flood Irrigation,19822000
Nov,Tasgaon,0.04,Adjusted crop (Maize) for Tasgaon based on availability,Optimized Irrigation,20725000
Nov,Tasgaon,0.04,Adjusted crop (Wheat) for Tasgaon based on availability,Optimized Irrigation,16801200
Nov,Tasgaon,0.04,Adjusted crop (Bajra) for Tasgaon based on availability,Optimized Irrigation,9522000
Nov,Palus,0.02,Adjusted crop (Jowar) for Palus based on availability,Optimized Irrigation,4509000
Nov,Palus,0.02,Water-intensive crop (Sugarcane) for Palus,Flood Irrigation,29928000
Nov,Palus,0.02,Adjusted crop (Groundnut) for Palus based on availability,Optimized Irrigation,9523200
Nov,Palus,0.02,Adjusted crop (Pulses) for Palus based on availability,Optimized Irrigation,3720500
Nov,Shahuwadi,0.04,Water-intensive crop (Rice) for Shahuwadi,Flood Irrigation,12413500
Nov,Shahuwadi,0.04,Adjusted crop (Maize) for Shahuwadi based on availability,Optimized Irrigation,10890000
Nov,Shahuwadi,0.04,Adjusted crop (Wheat) for Shahuwadi based on availability,Optimized Irrigation,11554400
Nov,Shahuwadi,0.04,Adjusted crop (Bajra) for Shahuwadi based on availability,Optimized Irrigation,14375000
Nov,Panhala,0.07,Adjusted crop (Jowar) for Panhala based on availability,Optimized Irrigation,18571500
Nov,Panhala,0.07,Water-intensive crop (Sugarcane) for Panhala,Flood Irrigation,12978000
Nov,Panhala,0.07,Adjusted crop (Groundnut) for Panhala based on availability,Optimized Irrigation,18249600
Nov,Hatkanangale,0.03,Adjusted crop (Pulses) for Hatkanangale based on availability,Optimized Irrigation,6321000
Nov,Hatkanangale,0.03,Water-intensive crop (Rice) for Hatkanangale,Flood Irrigation,9801000
Nov,Hatkanangale,0.03,Adjusted crop (Maize) for Hatkanangale based on availability,Optimized Irrigation,24565000
Nov,Hatkanangale,0.03,Adjusted crop (Wheat) for Hatkanangale based on availability,Optimized Irrigation,6047600
Nov,Hatkanangale,0.03,Adjusted crop (Bajra) for Hatkanangale based on availability,Optimized Irrigation,19517800
Dec,Atpadi,0.01,Adjusted crop (Jowar) for Atpadi based on availability,Optimized Irrigation,3100500
Dec,Atpadi,0.01,Water-intensive crop (Sugarcane) for Atpadi,Flood Irrigation,14394000
Dec,Atpadi,0.01,Adjusted crop (Groundnut) for Atpadi based on availability,Optimized Irrigation,9734400
Dec,Atpadi,0.01,Adjusted crop (Pulses) for Atpadi based on availability,Optimized Irrigation,4011000
Dec,Atpadi,0.01,Water-intensive crop (Rice) for Atpadi,Flood Irrigation,16142500
Dec,Atpadi,0.01,Adjusted crop (Maize) for Atpadi based on availability,Optimized Irrigation,3705000
Dec,Atpadi,0.01,Adjusted crop (Wheat) for Atpadi based on availability,Optimized Irrigation,16182400
Dec,Atpadi,0.01,Adjusted crop (Bajra) for Atpadi based on availability,Optimized Irrigation,14057600
Dec,Khanapur ,0.06,Adjusted crop (Jowar) for Khanapur  based on availability,Optimized Irrigation,16078500
Dec,Khanapur ,0.06,Water-intensive crop (Sugarcane) for Khanapur ,Flood Irrigation,26058000
Dec,Khanapur ,0.06,Adjusted crop (Groundnut) for Khanapur  based on availability,Optimized Irrigation,3172800
Dec,Khanapur ,0.06,Adjusted crop (Pulses) for Khanapur  based on availability,Optimized Irrigation,13447000
Dec,Khanapur ,0.06,Water-intensive crop (Rice) for Khanapur ,Flood Irrigation,9762500
Dec,Shirol,0.01,Adjusted crop (Maize) for Shirol based on availability,Optimized Irrigation,4185000
Dec,Shirol,0.01,Adjusted crop (Wheat) for Shirol based on availability,Optimized Irrigation,23363600
Dec,Shirol,0.01,Adjusted crop (Bajra) for Shirol based on availability,Optimized Irrigation,4043400
Dec,Tasgaon,0.04,Adjusted crop (Jowar) for Tasgaon based on availability,Optimized Irrigation,11371500
Dec,Tasgaon,0.04,Water-intensive crop (Sugarcane) for Tasgaon,Flood Irrigation,5346000
Dec,Tasgaon,0.04,Adjusted crop (Groundnut) for Tasgaon based on availability,Optimized Irrigation,23875200
Dec,Tasgaon,0.04,Adjusted crop (Pulses) for Tasgaon based on availability,Optimized Irrigation,12596500
Dec,Tasgaon,0.04,Water-intensive crop (Rice) for Tasgaon,Flood Irrigation,19822000
Dec,Tasgaon,0.04,Adjusted crop (Maize) for Tasgaon based on availability,Optimized Irrigation,20725000
Dec,Tasgaon,0.04,Adjusted crop (Wheat) for Tasgaon based on availability,Optimized Irrigation,16801200
Dec,Tasgaon,0.04,Adjusted crop (Bajra) for Tasgaon based on availability,Optimized Irrigation,9522000
Dec,Palus,0.02,Adjusted crop (Jowar) for Palus based on availability,Optimized Irrigation,4509000
Dec,Palus,0.02,Water-intensive crop (Sugarcane) for Palus,Flood Irrigation,29928000
Dec,Palus,0.02,Adjusted crop (Groundnut) for Palus based on availability,Optimized Irrigation,9523200
Dec,Palus,0.02,Adjusted crop (Pulses) for Palus based on availability,Optimized Irrigation,3720500
Dec,Shahuwadi,0.04,Water-intensive crop (Rice) for Shahuwadi,Flood Irrigation,12413500
Dec,Shahuwadi,0.04,Adjusted crop (Maize) for Shahuwadi based on availability,Optimized Irrigation,10890000
Dec,Shahuwadi,0.04,Adjusted crop (Wheat) for Shahuwadi based on availability,Optimized Irrigation,11554400
Dec,Shahuwadi,0.04,Adjusted crop (Bajra) for Shahuwadi based on availability,Optimized Irrigation,14375000
Dec,Panhala,0.07,Adjusted crop (Jowar) for Panhala based on availability,Optimized Irrigation,18571500
Dec,Panhala,0.07,Water-intensive crop (Sugarcane) for Panhala,Flood Irrigation,12978000
Dec,Panhala,0.07,Adjusted crop (Groundnut) for Panhala based on availability,Optimized Irrigation,18249600
Dec,Hatkanangale,0.03,Adjusted crop (Pulses) for Hatkanangale based on availability,Optimized Irrigation,6321000
Dec,Hatkanangale,0.03,Water-intensive crop (Rice) for Hatkanangale,Flood Irrigation,9801000
Dec,Hatkanangale,0.03,Adjusted crop (Maize) for Hatkanangale based on availability,Optimized Irrigation,24565000
Dec,Hatkanangale,0.03,Adjusted crop (Wheat) for Hatkanangale based on availability,Optimized Irrigation,6047600
Dec,Hatkanangale,0.03,Adjusted crop (Bajra) for Hatkanangale based on availability,Optimized Irrigation,19517800
Jan,Atpadi,0.01,Adjusted crop (Jowar) for Atpadi based on availability,Optimized Irrigation,3100500
Jan,Atpadi,0.01,Water-intensive crop (Sugarcane) for Atpadi,Flood Irrigation,14394000
Jan,Atpadi,0.01,Adjusted crop (Groundnut) for Atpadi based on availability,Optimized Irrigation,9734400
Jan,Atpadi,0.01,Adjusted crop (Pulses) for Atpadi based on availability,Optimized Irrigation,4011000
Jan,Atpadi,0.01,Water-intensive crop (Rice) for Atpadi,Flood Irrigation,16142500
Jan,Atpadi,0.01,Adjusted crop (Maize) for Atpadi based on availability,Optimized Irrigation,3705000
Jan,Atpadi,0.01,Adjusted crop (Wheat) for Atpadi based on availability,Optimized Irrigation,16182400
Jan,Atpadi,0.01,Adjusted crop (Bajra) for Atpadi based on availability,Optimized Irrigation,14057600
Jan,Khanapur ,0.06,Adjusted crop (Jowar) for Khanapur  based on availability,Optimized Irrigation,16078500
Jan,Khanapur ,0.06,Water-intensive crop (Sugarcane) for Khanapur ,Flood Irrigation,26058000
Jan,Khanapur ,0.06,Adjusted crop (Groundnut) for Khanapur  based on availability,Optimized Irrigation,3172800
Jan,Khanapur ,0.06,Adjusted crop (Pulses) for Khanapur  based on availability,Optimized Irrigation,13447000
Jan,Khanapur ,0.06,Water-intensive crop (Rice) for Khanapur ,Flood Irrigation,9762500
Jan,Shirol,0.01,Adjusted crop (Maize) for Shirol based on availability,Optimized Irrigation,4185000
Jan,Shirol,0.01,Adjusted crop (Wheat) for Shirol based on availability,Optimized Irrigation,23363600
Jan,Shirol,0.01,Adjusted crop (Bajra) for Shirol based on availability,Optimized Irrigation,4043400
Jan,Tasgaon,0.04,Adjusted crop (Jowar) for Tasgaon based on availability,Optimized Irrigation,11371500
Jan,Tasgaon,0.04,Water-intensive crop (Sugarcane) for Tasgaon,Flood Irrigation,5346000
Jan,Tasgaon,0.04,Adjusted crop (Groundnut) for Tasgaon based on availability,Optimized Irrigation,23875200
